DATETIME,OPEN,HIGH,LOW,CLOSE
2020-12-03,1.2116,1.2176,1.2102,1.2149
2020-12-04,1.2146,1.2178,1.2111,1.2121
2020-12-07,1.2123,1.2166,1.208,1.2109
2020-12-08,1.2112,1.2134,1.2097,1.2106
2020-12-09,1.2105,1.2148,1.2061,1.2084
2020-12-10,1.2083,1.2158,1.2076,1.2142
2020-12-11,1.2141,1.2165,1.2106,1.2112
2020-12-14,1.2116,1.2177,1.2116,1.2143
2020-12-15,1.2145,1.2171,1.2123,1.2155
2020-12-16,1.2154,1.2213,1.2127,1.2201
2020-12-17,1.22,1.2274,1.2192,1.227
2020-12-18,1.2271,1.2274,1.2226,1.2258
2020-12-21,1.2219,1.2253,1.2131,1.2244
2020-12-22,1.2242,1.2258,1.2153,1.2162
2020-12-23,1.2163,1.2221,1.216,1.2188
2020-12-24,1.2187,1.2218,1.2178,1.2187
2020-12-25,1.2188,1.221,1.2163,1.2197
2020-12-28,1.2191,1.2252,1.2182,1.2215
2020-12-29,1.2216,1.2277,1.2208,1.2251
2020-12-30,1.2252,1.2309,1.2248,1.23
2020-12-31,1.2301,1.2311,1.221,1.2216
2021-01-01,1.2217,1.2229,1.2126,1.2216
2021-01-04,1.2242,1.2309,1.2231,1.2255
2021-01-05,1.2254,1.2306,1.2247,1.2301
2021-01-06,1.2298,1.2351,1.2269,1.2328
2021-01-07,1.233,1.2346,1.2245,1.227
2021-01-08,1.2275,1.2284,1.2194,1.222
2021-01-11,1.222,1.2232,1.2134,1.2151
2021-01-12,1.2153,1.2211,1.2139,1.2209
2021-01-13,1.2208,1.2224,1.2141,1.216
2021-01-14,1.2156,1.2179,1.2112,1.2157
2021-01-15,1.2156,1.2164,1.2075,1.208
2021-01-18,1.2081,1.2089,1.2055,1.2079
2021-01-19,1.2081,1.2147,1.2074,1.2131
2021-01-20,1.213,1.2159,1.2078,1.2108
2021-01-21,1.2107,1.2172,1.2105,1.2168
2021-01-22,1.2167,1.219,1.2152,1.2175
2021-01-25,1.2169,1.2185,1.2117,1.2143
2021-01-26,1.2142,1.2177,1.2109,1.2162
2021-01-27,1.2164,1.2171,1.206,1.2114
2021-01-28,1.2111,1.2144,1.2081,1.2123
2021-01-29,1.2122,1.2156,1.2095,1.2138
2021-02-01,1.2138,1.2138,1.2057,1.2061
2021-02-02,1.2062,1.2089,1.2012,1.2045
2021-02-03,1.2046,1.2052,1.2005,1.2035
2021-02-04,1.2038,1.2045,1.1958,1.1963
2021-02-05,1.1965,1.2052,1.1953,1.205
2021-02-08,1.2045,1.2066,1.2021,1.2052
2021-02-09,1.2051,1.2123,1.2048,1.2121
2021-02-10,1.212,1.2146,1.2109,1.212
2021-02-11,1.2118,1.215,1.2114,1.2134
2021-02-12,1.2132,1.2136,1.2083,1.212
