DATETIME,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-02-16,6.800238,6.974598,6.586139,6.58957,485848420
2023-02-17,6.588786,7.159044,6.561127,7.154195,667415284
2023-02-18,7.153414,7.667851,7.023011,7.472886,788359973
2023-02-19,7.472167,7.691464,7.354496,7.484886,557572218
2023-02-20,7.489935,7.794563,7.312952,7.494994,507369326
2023-02-21,7.495756,7.554297,7.090951,7.169615,382441043
2023-02-22,7.169912,7.26985,6.90576,7.268197,428071202
2023-02-23,7.268087,7.691531,7.23781,7.489071,601601713
2023-02-24,7.487829,7.656313,6.94336,7.043816,497072301
2023-02-25,7.044761,7.05994,6.819396,6.977189,294757800
2023-02-26,6.976839,7.133273,6.920135,7.098943,223099678
2023-02-27,7.098278,7.101435,6.761251,6.860907,281765306
2023-02-28,6.861388,6.985171,6.751124,6.800543,288291833
2023-03-01,6.801142,7.0569,6.784705,7.0569,278979580
2023-03-02,7.056908,7.086858,6.787541,6.857413,253101551
2023-03-03,6.857317,6.861715,6.361334,6.529825,325377416
2023-03-04,6.530071,6.575028,6.332796,6.439361,203078364
2023-03-05,6.439851,6.596808,6.413121,6.535247,180324523
2023-03-06,6.535309,6.520162,6.423208,6.421345,208322620
2023-03-07,6.421347,6.517948,6.346583,6.514217,242826608
2023-03-08,6.513912,6.565609,6.210544,6.241687,286984237
2023-03-09,6.241725,6.313356,5.731864,5.817743,296760145
2023-03-10,6.241725,6.313356,5.731864,5.817743,296760145
2023-03-11,5.817656,5.875497,5.614988,5.841545,315426003
2023-03-12,5.841278,5.998194,5.636125,5.831007,315255842
2023-03-13,5.830504,6.169511,5.75662,6.169511,249118691
2023-03-14,6.168901,6.426187,6.013947,6.319461,371976285
2023-03-15,6.319642,6.712075,6.230121,6.503347,433701967
2023-03-16,6.50393,6.630758,6.102874,6.190955,373751422
2023-03-17,6.193389,6.297275,6.137667,6.288587,213511184
2023-03-18,6.288844,6.750785,6.246101,6.719959,348885615
2023-03-19,6.720189,6.779103,6.422816,6.434571,291430870
2023-03-20,6.435258,6.812511,6.435258,6.649957,233299453
2023-03-21,6.649766,6.914908,6.547068,6.584486,457053244
2023-03-22,6.585881,6.902189,6.425235,6.875934,340018915
2023-03-23,6.874935,7.140224,6.507022,6.606238,539973105
2023-03-24,6.605818,7.04143,6.539495,7.034131,303841290
2023-03-25,7.033415,7.05828,6.645431,6.687635,274207360
2023-03-26,6.686999,6.729128,6.490356,6.574366,179277309
2023-03-27,6.575077,6.759525,6.557599,6.738048,153295632
2023-03-28,6.738516,6.752919,6.309221,6.359936,213387369
2023-03-29,6.360135,6.471966,6.260289,6.416803,194715467
2023-03-30,6.415816,6.879212,6.399836,6.808716,274832870
2023-03-31,6.808699,6.949685,6.578999,6.632807,256306717
2023-04-01,6.632644,7.047441,6.628438,6.988332,313213604
2023-04-02,6.9894,7.018342,6.864197,6.877831,168924848
2023-04-03,6.948006,6.948006,6.67789,6.71974,174760441
2023-04-04,6.719413,6.815889,6.486989,6.637476,271011132
2023-04-05,6.637298,6.81837,6.625525,6.734172,226881676
2023-04-06,6.733839,6.936213,6.655582,6.718441,266710404
2023-04-07,6.71839,6.719159,6.539951,6.593511,177885781
2023-04-08,6.593406,6.631572,6.527514,6.618105,122177389
2023-04-09,6.617442,6.632375,6.459836,6.491923,103803523
2023-04-10,6.492019,6.646037,6.43755,6.608671,105312390
2023-04-11,6.608535,6.775592,6.560847,6.756974,156302707
2023-04-12,6.757359,6.830332,6.684398,6.699839,172983869
2023-04-13,6.700032,6.698661,6.532066,6.592906,177862348
2023-04-14,6.578201,6.809193,6.536277,6.754071,205867351
2023-04-15,6.754702,7.116831,6.754702,6.981905,375051585
2023-04-16,6.982059,7.246161,6.879075,7.217552,273063206
2023-04-17,7.217765,7.419872,7.140459,7.407587,258601548
2023-04-18,7.407318,7.525538,7.226456,7.473303,421415051
2023-04-19,7.474309,7.966376,7.379463,7.814403,467088155
2023-04-20,7.813624,7.820378,7.052641,7.09503,496241850
